Year,Argentina,South Korea
1960,26.5,38.4
1961,27.42,40.8
1962,28.340000000000003,43.2
1963,29.260000000000005,45.6
1964,30.180000000000007,48.0
1965,31.099999999999994,50.4
1966,32.120000000000005,53.16
1967,33.14,55.92
1968,34.16,58.68
1969,35.18000000000001,61.44
1970,36.2,64.2
1971,37.26,66.7
1972,38.32,69.2
1973,39.38,71.7
1974,40.44,74.2
1975,41.5,76.7
1976,42.52,78.76
1977,43.54,80.82
1978,44.56,82.88
1979,45.58,84.94
1980,46.6,87.0
1981,47.4,88.46000000000001
1982,48.2,89.92
1983,49.0,91.38
1984,49.8,92.84
1985,50.6,94.3
1986,51.52,95.08
1987,52.44,95.86
1988,53.36,96.64
1989,54.28,97.42
1990,55.2,98.2
1991,55.94,98.42
1992,56.68,98.64
1993,57.42,98.86
1994,58.16,99.08
1995,58.9,99.3
1996,59.46,99.32
1997,60.02,99.34
1998,60.58,99.36
1999,61.14,99.38
2000,61.7,99.4
2001,62.86,99.5
2002,64.02000000000001,99.6
2003,65.18,99.7
2004,66.34,99.8
2005,67.5,99.9
2006,68.12,99.7
2007,68.74,99.5
2008,69.36,99.3
2009,69.98,99.1
2010,70.6,98.9
2011,71.5,98.98
2012,72.4,99.06
2013,73.3,99.14
2014,74.2,99.22
2015,75.1,99.3
