Year,Argentina,South Korea
1960,68.5,76.0
1961,69.28,77.98
1962,70.06,79.96000000000001
1963,70.84,81.94
1964,71.62,83.92
1965,72.4,85.9
1966,73.16,87.42
1967,73.92,88.94
1968,74.68,90.46
1969,75.44,91.98
1970,76.2,93.5
1971,77.03999999999999,94.24
1972,77.88,94.98
1973,78.72,95.72
1974,79.56,96.46
1975,80.4,97.2
1976,81.14,97.46
1977,81.88,97.72
1978,82.62,97.98
1979,83.36,98.24
1980,84.1,98.5
1981,84.66,98.64
1982,85.22,98.78
1983,85.78,98.92
1984,86.34,99.06
1985,86.9,99.2
1986,87.36,99.28
1987,87.82,99.36
1988,88.28,99.44
1989,88.74,99.52
1990,89.2,99.6
1991,89.52,99.64
1992,89.84,99.68
1993,90.16,99.72
1994,90.48,99.76
1995,90.8,99.8
1996,91.02,99.8
1997,91.24,99.8
1998,91.46,99.8
1999,91.68,99.8
2000,91.9,99.8
2001,92.04,99.82
2002,92.18,99.84
2003,92.32,99.86
2004,92.46,99.88
2005,92.6,99.9
2006,92.6,99.9
2007,92.6,99.9
2008,92.6,99.9
2009,92.6,99.9
2010,92.6,99.9
2011,92.96,99.92
2012,93.32,99.94
2013,93.68,99.96
2014,94.04,99.98
2015,94.4,100.0
