Year,Argentina,South Korea
1960,3.11,6.1
1961,3.1,5.93
1962,3.09,5.74
1963,3.08,5.53
1964,3.07,5.33
1965,3.06,5.13
1966,3.05,4.94
1967,3.05,4.77
1968,3.05,4.62
1969,3.06,4.47
1970,3.07,4.34
1971,3.1,4.19
1972,3.15,4.04
1973,3.2,3.86
1974,3.26,3.67
1975,3.32,3.46
1976,3.37,3.25
1977,3.39,3.05
1978,3.39,2.87
1979,3.37,2.7
1980,3.33,2.54
1981,3.27,2.4
1982,3.21,2.26
1983,3.16,2.11
1984,3.12,1.97
1985,3.09,1.84
1986,3.07,1.73
1987,3.06,1.65
1988,3.04,1.6
1989,3.02,1.58
1990,2.99,1.58
1991,2.95,1.6
1992,2.91,1.63
1993,2.87,1.64
1994,2.82,1.64
1995,2.76,1.62
1996,2.71,1.58
1997,2.66,1.53
1998,2.62,1.47
1999,2.59,1.41
2000,2.56,1.35
2001,2.54,1.29
2002,2.52,1.25
2003,2.5,1.21
2004,2.47,1.18
2005,2.45,1.17
2006,2.43,1.16
2007,2.41,1.16
2008,2.4,1.17
2009,2.38,1.18
2010,2.37,1.19
2011,2.36,1.21
2012,2.35,1.22
2013,2.34,1.24
2014,2.32,1.26
2015,2.31,1.28
