Year,Argentina,South Korea
1960,65.3,59.1
1961,65.7,59.5
1962,65.8,60.0
1963,65.8,60.5
1964,65.8,60.9
1965,66.1,61.4
1966,66.6,61.8
1967,66.5,62.2
1968,66.0,62.6
1969,65.9,63.1
1970,66.1,63.6
1971,66.9,64.1
1972,67.3,64.4
1973,67.7,65.0
1974,67.9,65.3
1975,68.0,65.7
1976,67.0,66.1
1977,67.7,66.5
1978,69.0,67.1
1979,69.8,67.6
1980,70.2,67.3
1981,70.3,68.5
1982,70.9,68.6
1983,70.7,68.5
1984,70.8,69.5
1985,71.7,69.9
1986,72.0,70.3
1987,72.1,70.6
1988,72.1,71.3
1989,72.3,71.7
1990,72.5,72.1
1991,72.7,72.5
1992,72.8,73.1
1993,73.0,73.6
1994,73.4,73.9
1995,73.4,74.3
1996,73.5,74.8
1997,73.6,75.3
1998,73.7,75.6
1999,73.8,76.0
2000,74.2,76.3
2001,74.3,76.9
2002,74.3,77.3
2003,74.4,77.7
2004,74.9,78.3
2005,75.3,78.8
2006,75.4,79.3
2007,75.3,79.8
2008,75.7,80.2
2009,75.8,80.5
2010,75.9,80.8
2011,76.0,81.2
2012,76.2,81.5
2013,76.3,81.9
2014,76.5,82.3
2015,76.5,82.6
2016,76.2,82.8
2017,76.3,82.9
2018,76.5,82.9
2019,76.6,82.9
2020,74.6,82.8
