Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,2.4,3.42,4.44,5.46,6.48,7.5,8.96,10.42,11.88,13.34,14.8,15.58,16.36,17.14,17.92,18.7,19.58,20.46,21.34,22.22,23.1,24.08,25.06,26.04,27.02,28.0,29.1,30.2,31.3,32.4,33.5,34.6,35.7,36.8,37.9,39.0,40.14,41.28,42.42,43.56,44.7,45.62,46.54,47.46,48.38,49.3,50.42,51.54,52.66,53.78,54.9,55.68,56.46,57.24,58.02,58.8,59.76,60.72,61.68,62.64,63.6
Bangladesh,1.1,1.16,1.22,1.28,1.34,1.4,1.5,1.6,1.7,1.8,1.9,2.02,2.14,2.26,2.38,2.5,2.72,2.94,3.16,3.38,3.6,3.84,4.08,4.32,4.56,4.8,5.08,5.36,5.64,5.92,6.2,6.64,7.08,7.52,7.96,8.4,9.06,9.72,10.38,11.04,11.7,12.7,13.7,14.7,15.7,16.7,18.08,19.46,20.84,22.22,23.6,24.74,25.88,27.02,28.16,29.3,30.44,31.58,32.72,33.86,35.0
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48,28.96,43.44,57.92,72.4,73.56,74.72,75.88,77.04,78.2
Belarus,46.7,49.86,53.02,56.18,59.34,62.5,66.0,69.5,73.0,76.5,80.0,80.92,81.84,82.76,83.68,84.6,84.9,85.2,85.5,85.8,86.1,86.4,86.7,87.0,87.3,87.6,87.86,88.12,88.38,88.64,88.9,89.14,89.38,89.62,89.86,90.1,90.4,90.7,91.0,91.3,91.6,91.94,92.28,92.62,92.96,93.3,93.26,93.22,93.18,93.14,93.1,93.52,93.94,94.36,94.78,95.2,95.44,95.68,95.92,96.16,96.4
Belgium,22.3,23.34,24.38,25.42,26.46,27.5,28.54,29.58,30.62,31.66,32.7,33.76,34.82,35.88,36.94,38.0,39.08,40.16,41.24,42.32,43.4,44.42,45.44,46.46,47.48,48.5,49.24,49.98,50.72,51.46,52.2,52.72,53.24,53.76,54.28,54.8,55.38,55.96,56.54,57.12,57.7,58.4,59.1,59.8,60.5,61.2,62.06,62.92,63.78,64.64,65.5,67.38,69.26,71.14,73.02,74.9,76.62,78.34,80.06,81.78,83.5
Belize,2.8,3.18,3.56,3.94,4.32,4.7,5.3,5.9,6.5,7.1,7.7,8.24,8.78,9.32,9.86,10.4,11.18,11.96,12.74,13.52,14.3,15.1,15.9,16.7,17.5,18.3,19.16,20.02,20.88,21.74,22.6,23.46,24.32,25.18,26.04,26.9,27.84,28.78,29.72,30.66,31.6,32.96,34.32,35.68,37.04,38.4,39.84,41.28,42.72,44.16,45.6,46.44,47.28,48.12,48.96,49.8,50.72,51.64,52.56,53.48,54.4
Benin,0.1,0.12,0.14,0.16,0.18,0.2,0.24,0.28,0.32,0.36,0.4,0.48,0.56,0.64,0.72,0.8,0.94,1.08,1.22,1.36,1.5,1.7,1.9,2.1,2.3,2.5,2.54,2.58,2.62,2.66,2.7,2.78,2.86,2.94,3.02,3.1,3.32,3.54,3.76,3.98,4.2,4.64,5.08,5.52,5.96,6.4,7.28,8.16,9.04,9.92,10.8,11.34,11.88,12.42,12.96,13.5,14.06,14.62,15.18,15.74,16.3
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.12,0.16,0.2,0.26,0.32,0.38,0.44,0.5,0.68,0.86,1.04,1.22,1.4,1.62,1.84,2.06,2.28,2.5,2.88,3.26,3.64,4.02,4.4,5.16,5.92,6.68,7.44,8.2,9.74,11.28,12.82,14.36,15.9,16.44,16.98,17.52,18.06,18.6,19.22,19.84,20.46,21.08,21.7,22.36,23.02,23.68,24.34,25.0
Bolivia,4.0,4.22,4.44,4.66,4.88,5.1,5.46,5.82,6.18,6.54,6.9,7.42,7.94,8.46,8.98,9.5,10.18,10.86,11.54,12.22,12.9,13.66,14.42,15.18,15.94,16.7,17.52,18.34,19.16,19.98,20.8,21.7,22.6,23.5,24.4,25.3,26.32,27.34,28.36,29.38,30.4,31.48,32.56,33.64,34.72,35.8,37.0,38.2,39.4,40.6,41.8,43.92,46.04,48.16,50.28,52.4,54.52,56.64,58.76,60.88,63.0
Bosnia and Herzegovina,19.1,20.66,22.22,23.78,25.34,26.9,28.96,31.02,33.08,35.14,37.2,39.2,41.2,43.2,45.2,47.2,48.8,50.4,52.0,53.6,55.2,56.62,58.04,59.46,60.88,62.3,63.36,64.42,65.48,66.54,67.6,68.42,69.24,70.06,70.88,71.7,72.68,73.66,74.64,75.62,76.6,77.76,78.92,80.08,81.24,82.4,84.0,85.6,87.2,88.8,90.4,90.44,90.48,90.52,90.56,90.6,90.98,91.36,91.74,92.12,92.5
Botswana,0.3,0.4,0.5,0.6,0.7,0.8,1.02,1.24,1.46,1.68,1.9,2.36,2.82,3.28,3.74,4.2,4.9,5.6,6.3,7.0,7.7,8.64,9.58,10.52,11.46,12.4,13.48,14.56,15.64,16.72,17.8,18.78,19.76,20.74,21.72,22.7,24.16,25.62,27.08,28.54,30.0,32.0,34.0,36.0,38.0,40.0,40.9,41.8,42.7,43.6,44.5,46.36,48.22,50.08,51.94,53.8,55.66,57.52,59.38,61.24,63.1
Brazil,3.1,3.4,3.7,4.0,4.3,4.6,5.08,5.56,6.04,6.52,7.0,7.68,8.36,9.04,9.72,10.4,11.28,12.16,13.04,13.92,14.8,15.82,16.84,17.86,18.88,19.9,21.0,22.1,23.2,24.3,25.4,26.56,27.72,28.88,30.04,31.2,32.52,33.84,35.16,36.48,37.8,39.14,40.48,41.82,43.16,44.5,45.52,46.54,47.56,48.58,49.6,50.94,52.28,53.62,54.96,56.3,57.62,58.94,60.26,61.58,62.9
